                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5257,                 3.6019,                 4.1822,                 0.0041,                0.54869,                0.01191,                0.00373,                 3.3891,                 3.7154,                 4.2048,             0.00065333,             0.00065333,             0.00065333
                      2,                 3.2002,                 3.3711,                 3.7286,                0.00401,                0.53919,                0.03541,                0.01209,                 3.0633,                 3.3463,                 4.0683,              0.0012547,              0.0012547,              0.0012547
                      3,                 3.0268,                 3.2632,                 3.3793,                0.02388,                0.19952,                0.01266,                0.00311,                 3.1804,                 38.685,                 5.0597,                0.00179,                0.00179,                0.00179
                      4,                 2.9362,                 3.1961,                  3.206,                0.01669,                0.17815,                0.01153,                 0.0041,                 3.1766,                 43.888,                 6.0734,               0.001703,               0.001703,               0.001703
                      5,                 2.8113,                 3.0308,                  3.064,                0.09468,                0.15677,                0.04049,                0.00974,                 2.9547,                 8.8487,                 3.6587,               0.001703,               0.001703,               0.001703
                      6,                 2.6911,                 2.9761,                 2.9528,                0.15061,                0.17606,                 0.0884,                0.02646,                 2.5834,                 3.3616,                 3.0457,               0.001604,               0.001604,               0.001604
                      7,                 2.5976,                 2.8773,                 2.9134,                0.08384,                0.12589,                0.04247,                0.01501,                 2.5526,                 3.5498,                 2.9564,               0.001505,               0.001505,               0.001505
                      8,                 2.5015,                 2.7674,                 2.8246,                0.22761,                0.26603,                0.13232,                0.04319,                 2.4996,                 2.7922,                 2.8917,               0.001406,               0.001406,               0.001406
                      9,                 2.4118,                 2.7136,                 2.7342,                0.26778,                0.28666,                 0.1558,                0.05656,                 2.3244,                 2.6573,                 2.7994,               0.001307,               0.001307,               0.001307
                     10,                 2.3235,                 2.5749,                 2.6606,                0.30832,                0.31354,                0.22278,                0.08334,                 2.3067,                 2.5106,                  2.779,               0.001208,               0.001208,               0.001208
                     11,                 2.2383,                 2.7006,                 2.6098,                0.47989,                0.34442,                0.31167,                0.13954,                 2.1134,                   2.41,                  2.579,               0.001109,               0.001109,               0.001109
                     12,                 2.1344,                 2.5505,                 2.4982,                0.49496,                0.35616,                0.34805,                0.15097,                 2.1085,                  2.343,                  2.555,                0.00101,                0.00101,                0.00101
                     13,                 2.1211,                 2.4804,                 2.4589,                0.51916,                 0.3753,                 0.3489,                 0.1726,                 2.0151,                 2.3297,                 2.4688,               0.000911,               0.000911,               0.000911
                     14,                 2.0743,                 2.3948,                 2.4311,                0.51399,                0.37292,                0.38631,                0.16939,                 1.9846,                 2.2799,                 2.4385,               0.000812,               0.000812,               0.000812
                     15,                 2.0406,                 2.3656,                 2.4034,                0.49242,                0.37101,                0.37477,                0.17739,                 1.9197,                 2.2363,                 2.3834,               0.000713,               0.000713,               0.000713
                     16,                 2.0009,                 2.3052,                 2.3649,                0.57889,                0.39667,                0.44584,                0.20509,                 1.9561,                 2.1221,                 2.4092,               0.000614,               0.000614,               0.000614
                     17,                 1.9824,                 2.2641,                 2.3343,                0.53436,                0.44418,                0.44136,                0.23417,                 1.8453,                 2.0812,                 2.3073,               0.000515,               0.000515,               0.000515
                     18,                 1.9309,                 2.2252,                 2.3188,                0.69648,                0.40878,                0.49062,                0.26228,                 1.8153,                 2.0293,                  2.287,               0.000416,               0.000416,               0.000416
                     19,                 1.9053,                 2.1423,                 2.2886,                0.65328,                0.40143,                0.47657,                 0.2661,                  1.786,                 1.9882,                 2.2536,               0.000317,               0.000317,               0.000317
                     20,                 1.8928,                 2.1126,                 2.2498,                0.55393,                 0.4228,                0.45834,                0.24958,                  1.766,                  2.008,                 2.2248,               0.000218,               0.000218,               0.000218
